iter	Passed	Remaining
378	2304	3776
379	2310	3769
380	2314	3759
381	2318	3750
382	2322	3741
383	2326	3732
384	2332	3725
385	2336	3715
386	2339	3706
387	2345	3700
388	2350	3691
389	2355	3683
390	2360	3676
391	2365	3669
392	2369	3660
393	2374	3651
394	2381	3646
395	2387	3641
396	2393	3635
397	2399	3629
398	2406	3625
399	2414	3621
400	2418	3612
401	2422	3603
402	2426	3595
403	2431	3587
404	2435	3578
405	2440	3570
406	2445	3563
407	2450	3555
408	2455	3547
409	2459	3539
410	2463	3529
411	2468	3523
412	2475	3518
413	2481	3512
414	2490	3511
415	2493	3500
416	2499	3494
417	2504	3487
418	2507	3477
